word,pos,prepos,nxtpos,ontotag,onto-BIO,onto-predict,dict-tag,dict-score,dict-BIO,tag,bio
[,NN,start,NN,NA,B,NA,0,0,B,others,B
i,NN,NN,VB,NA,B,NA,0,0,B,others,B
be,VB,NN,RB,NA,B,NA,0,0,B,others,B
currently,RB,VB,IN,Temporal_Concept,B,NA,0,0,B,others,B
on,IN,RB,CD,NA,B,NA,0,0,B,others,B
100mg,CD,IN,NN,NA,B,NA,4,11,B,modifier,B
quetiapine,NN,CD,TO,Pharmacologic_Substance,B,NA,0,0,B,medication,i
to,TO,NN,VB,Spatial_Concept,I,NA,0,0,B,others,B
see,VB,TO,IN,Activity,B,NA,0,0,B,others,B
if,IN,VB,PRP,NA,B,NA,0,0,B,others,B
it,PRP,IN,VBZ,NA,B,NA,0,0,B,others,B
help,VBZ,PRP,TO,Intellectual_Product,B,NA,0,0,B,others,B
to,TO,VBZ,VB,Spatial_Concept,I,NA,0,0,B,others,B
stabilise,VB,TO,PRP$,NA,B,NA,0,0,B,others,B
my,PRP$,VB,NNS,NA,B,NA,0,0,B,others,B
moods,NNS,PRP$,.,Mental_Process,B,NA,0,0,B,others,B
.,.,NNS,end,NA,B,NA,0,0,B,others,B
i,JJ,start,VBP,NA,B,NA,0,0,B,others,B
become,VBP,JJ,RB,NA,B,NA,0,0,B,others,B
too,RB,VBP,JJ,Finding,B,NA,0,0,B,others,B
'high,JJ,RB,'',NA,B,NA,0,0,B,others,i
','',JJ,IN,NA,B,NA,0,0,B,others,B
after,IN,'',JJ,Temporal_Concept,B,NA,4,10,B,modifier,B
try,JJ,IN,NN,NA,B,NA,0,0,B,others,B
ssris,NN,JJ,RB,NA,B,NA,0,0,B,others,B
alone,RB,NN,CC,Finding,B,NA,0,0,B,others,B
and,CC,RB,DT,Idea_or_Concept,B,NA,4,0,B,others,B
the,DT,CC,NN,NA,B,NA,4,0,B,others,B
quetiapine,NN,DT,VBP,Pharmacologic_Substance,B,NA,0,0,B,medication,B
have,VBP,NN,RB,Qualitative_Concept,B,NA,0,0,B,others,B
really,RB,VBP,VB,NA,B,NA,0,0,B,others,B
help,VB,RB,PRP,Intellectual_Product,B,NA,0,0,B,others,B
me,PRP,VB,TO,NA,B,NA,0,0,B,others,B
to,TO,PRP,VB,Spatial_Concept,I,NA,0,0,B,others,B
overcome,VB,TO,DT,Activity,B,NA,0,0,B,others,B
this,DT,VB,.,Eukaryote,B,NA,4,0,B,others,B
.,.,DT,end,NA,B,NA,0,0,B,others,B
however,RB,start,JJ,NA,B,NA,4,0,B,others,B
i,JJ,RB,VB,NA,B,NA,0,0,B,others,B
be,VB,JJ,RB,NA,B,NA,0,0,B,others,B
now,RB,VB,RB,Temporal_Concept,B,NA,0,0,B,others,B
just,RB,RB,VB,NA,B,NA,0,0,B,others,B
