word,pos,prepos,nxtpos,ontotag,onto-BIO,onto-predict,dict-tag,dict-score,dict-BIO
[,NN,start,WRB,NA,B,NA,0,0,B
when,WRB,NN,NN,Qualitative_Concept,B,NA,0,0,B
i,NN,WRB,VB,NA,B,NA,0,0,B
be,VB,NN,CD,NA,B,NA,0,0,B
7,CD,VB,PRP$,NA,B,NA,0,0,B
my,PRP$,CD,NN,NA,B,NA,0,0,B
dad,NN,PRP$,NN,NA,B,NA,0,0,B
pass,NN,NN,RB,Finding,B,NA,0,0,B
away,RB,NN,JJ,NA,B,NA,0,0,B
n,JJ,RB,NN,NA,B,NA,0,0,B
i,NN,JJ,VB,NA,B,NA,0,0,B
be,VB,NN,VBN,NA,B,NA,0,0,B
seperated,VBN,VB,IN,NA,B,NA,0,0,B
from,IN,VBN,PRP$,Qualitative_Concept,B,NA,0,0,B
my,PRP$,IN,NN,NA,B,NA,0,0,B
mum,NN,PRP$,IN,Plant,B,NA,0,0,B
at,IN,NN,DT,NA,B,NA,0,0,B
that,DT,IN,NN,NA,B,NA,4,0,B
age,NN,DT,IN,Organism_Attribute,B,NA,4,14,B
into,IN,NN,DT,Functional_Concept,B,NA,0,0,B
the,DT,IN,NN,Temporal_Concept,I,NA,4,0,B
uk,NN,DT,.,NA,B,NA,0,0,B
.,.,NN,end,NA,B,NA,0,0,B
my,PRP$,start,NNS,NA,B,NA,0,0,B
mum,NNS,PRP$,VBP,Plant,B,NA,0,0,B
have,VBP,NNS,VBN,Qualitative_Concept,B,NA,0,0,B
pass,VBN,VBP,RB,Finding,B,NA,0,0,B
away,RB,VBN,CD,NA,B,NA,0,0,B
2,CD,RB,NNS,NA,B,NA,0,0,B
years,NNS,CD,RB,Temporal_Concept,B,NA,5,0,B
ago,RB,NNS,.,NA,B,NA,4,10,B
.,.,RB,end,NA,B,NA,0,0,B
a,DT,start,NN,NA,B,NA,0,0,B
girl,NN,DT,NN,Age_Group,B,age,0,0,B
iv,NN,NN,NN,NA,B,NA,0,0,B
love,NN,NN,NN,Mental_Process,B,NA,0,0,B
n,NN,NN,RB,NA,B,NA,0,0,B
still,RB,NN,VBP,NA,B,NA,0,0,B
do,VBP,RB,IN,NA,B,NA,0,0,B
from,IN,VBP,DT,Qualitative_Concept,B,NA,0,0,B
the,DT,IN,NN,Temporal_Concept,I,NA,4,0,B
age,NN,DT,IN,Organism_Attribute,B,NA,4,14,B
of,IN,NN,CD,Mental_Process,I,NA,0,0,B
7,CD,IN,TO,NA,B,NA,0,0,B
to,TO,CD,RB,NA,B,NA,0,0,B
now,RB,TO,CD,Intellectual_Product,B,NA,0,0,B
23,CD,RB,NN,NA,B,NA,0,0,B
iv,NN,CD,NN,NA,B,NA,0,0,B
lose,NN,NN,.,NA,B,NA,0,0,B
.,.,NN,end,NA,B,NA,0,0,B
n,NN,start,NNS,NA,B,NA,0,0,B
i,NNS,NN,VBP,NA,B,NA,0,0,B
have,VBP,NNS,DT,Qualitative_Concept,B,NA,0,0,B
no,DT,VBP,NN,NA,B,NA,0,0,B
energy,NN,DT,.,Quantitative_Concept,B,NA,0,0,B
.,.,NN,end,NA,B,NA,0,0,B
iv,NNS,start,VBP,NA,B,NA,0,0,B
lose,VBP,NNS,NN,NA,B,NA,0,0,B
control,NN,VBP,IN,Conceptual_Entity,B,NA,0,0,B
of,IN,NN,PRP$,Mental_Process,I,NA,0,0,B
my,PRP$,IN,NNS,NA,B,NA,0,0,B
thoughts,NNS,PRP$,VBP,Mental_Process,B,NA,4,0,B
n,VBP,NNS,JJ,NA,B,NA,0,0,B
i,JJ,VBP,VBP,NA,B,NA,0,0,B
cant,VBP,JJ,JJ,Finding,B,NA,4,8,B
close,JJ,VBP,PRP$,Therapeutic_or_Preventive_Procedure,B,medication,0,0,B
my,PRP$,JJ,NN,NA,B,NA,0,0,B
eye,NN,PRP$,IN,Therapeutic_or_Preventive_Procedure,I,medication,2,0,B
because,IN,NN,JJ,NA,B,NA,0,0,B
i,JJ,IN,VBP,NA,B,NA,0,0,B
feel,VBP,JJ,IN,Mental_Process,B,NA,0,0,B
like,IN,VBP,NN,Mental_Process,B,NA,0,0,B
i,NN,IN,MD,NA,B,NA,0,0,B
can,MD,NN,VB,Quantitative_Concept,B,NA,4,8,B
see,VB,MD,JJ,Activity,B,NA,0,0,B
bad,JJ,VB,NNS,Qualitative_Concept,B,NA,4,5,B
things,NNS,JJ,JJ,Entity,B,NA,4,8,B
n,JJ,NNS,JJ,NA,B,NA,0,0,B
hear,JJ,JJ,JJ,Physiologic_Function,B,symptom,1,0,B
bad,JJ,JJ,NNS,Qualitative_Concept,B,NA,4,5,B
things,NNS,JJ,.,Entity,B,NA,4,8,B
.,.,NNS,end,NA,B,NA,0,0,B
at,IN,start,NN,NA,B,NA,0,0,B
time,NN,IN,NN,Temporal_Concept,B,NA,5,0,B
i,NN,NN,VBD,NA,B,NA,0,0,B
blank,VBD,NN,RP,Finding,B,NA,4,15,B
out,RP,VBD,IN,Spatial_Concept,B,NA,3,0,B
while,IN,RP,NNS,Idea_or_Concept,B,NA,4,15,B
im,NNS,IN,RB,NA,B,NA,0,0,B
still,RB,NNS,JJ,NA,B,NA,0,0,B
conscious,JJ,RB,.,Mental_Process,B,NA,0,0,B
.,.,JJ,end,NA,B,NA,0,0,B
i,NNS,start,VBP,NA,B,NA,0,0,B
need,VBP,NNS,NN,Idea_or_Concept,B,NA,0,0,B
help,NN,VBP,VB,Idea_or_Concept,I,NA,0,0,B
iv,VB,NN,RB,NA,B,NA,0,0,B
never,RB,VB,VB,Temporal_Concept,B,NA,4,5,B
be,VB,RB,DT,NA,B,NA,0,0,B
this,DT,VB,NN,Eukaryote,B,NA,4,0,B
bad.,NN,DT,'',NA,B,NA,4,5,B
','',NN,end,NA,B,NA,0,0,B
i,NN,start,VB,NA,B,NA,0,0,B
be,VB,NN,VBN,NA,B,NA,0,0,B
kyle,VBN,VB,DT,NA,B,NA,0,0,B
a,DT,VBN,CD,NA,B,NA,0,0,B
14,CD,DT,NN,NA,B,NA,0,0,B
year,NN,CD,JJ,Temporal_Concept,B,NA,5,0,B
old,JJ,NN,NN,Temporal_Concept,B,NA,4,14,B
teenager,NN,JJ,CC,Population_Group,B,NA,0,0,B
and,CC,NN,IN,Idea_or_Concept,B,NA,4,0,B
in,IN,CC,DT,Temporal_Concept,B,NA,0,0,B
the,DT,IN,JJ,Temporal_Concept,I,NA,4,0,B
past,JJ,DT,NNS,Temporal_Concept,I,NA,4,10,B
years,NNS,JJ,CC,Temporal_Concept,B,NA,5,0,B
and,CC,NNS,RB,Idea_or_Concept,B,NA,4,0,B
currently,RB,CC,VB,Temporal_Concept,B,NA,0,0,B
i,VB,RB,VBP,NA,B,NA,0,0,B
get,VBP,VB,RB,NA,B,NA,0,0,B
really,RB,VBP,JJ,NA,B,NA,0,0,B
emotional,JJ,RB,PRP$,Finding,B,NA,0,0,B
its,PRP$,JJ,IN,NA,B,NA,0,0,B
like,IN,PRP$,CD,Mental_Process,B,NA,0,0,B
one,CD,IN,NN,Quantitative_Concept,B,NA,2,0,B
